Abronia deppii,(WIEGMANN 1828),,,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia fimbriata,(COPE 1884),,,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia frosti,"CAMPBELL, SASA, ACEEDO & MENDELSON 1998",,Frost’s Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia fuscolabialis,(TIHEN 1944),,Mount Zempoaltepec Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia gaiophantasma,CAMPBELL & FROST 1993,,Brilliant Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia graminea,(COPE 1864),,"E: Terrestrial Arboreal Alligator Lizard
G: Grüne Baumschleiche","Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia leurolepis,CAMPBELL & FROST 1993,,Smoothback arboreal alligator lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia lythrochila,SMITH & ALVAREZ DEL TORO 1963,,Red-lipped Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia martindelcampoi,FLORES-VILLELA & SÁNCHEZ-H. 2003,,,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia matudai,(HARTWEG & TIHEN 1946),,Matuda's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia meledona,CAMPBELL & BRODIE 1999,,,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia mitchelli,CAMPBELL 1982,,Mitchell's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia mixteca,BOGERT & PORTER 1967,,Mixtecan Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia montecristoi,HIDALGO 1983,,MonteCristo Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia oaxacae,(GÜNTHER 1885),,Oaxaca Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia ochoterenai,(MARTIN DEL CAMPO 1939),,Northern Chiapas Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia ornelasi,CAMPBELL 1984,,Cerro Baul Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia ramirezi,CAMPBELL 1994,,Ramirez's Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia reidi,WERLER & SHANNON 1961,,Reid's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia salvadorensis,HIDALGO 1983,,Salvador Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia smithi,CAMPBELL & FROST 1993,,Smith's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia taeniata,(WIEGMANN 1828),,Bromeliad Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Abronia vasconcelosii,(BOCOURT 1871),,G: Guatemala-Baumschleiche,"Anguidae (Gerrhonotinae), Diploglossa, Sauria (lizards)"
Acanthocercus adramitanus,(ANDERSON 1896),,"E: Anderson's Rock Agama, Hadramaut Agama
G: Hadramautagame","Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus annectens,(BLANFORD 1870),,"Eritrean Rock Agama, Eritrean Ridgeback Agama","Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus atricollis,(SMITH 1849),"Acanthocercus atricollis atricollis (SMITH 1849)
Acanthocercus atricollis gregorii (KLAUSEWITZ 1957)
Acanthocercus atricollis kiwuensis (KLAUSEWITZ 1957)
Acanthocercus atricollis loveridgei (KLAUSEWITZ 1957)
Acanthocercus atricollis minutus (KLAUSEWITZ 1957)
Acanthocercus atricollis ugandaensis (KLAUSEWITZ 1957)","E: Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama, Blue-headed tree agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus branchi,"WAGNER, GREENBAUM & BAUER 2012",,,"Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus cyanogaster,(RÜPPELL 1835),,"Blue-bellied Ridgeback agama, Black-necked tree agama","Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus guentherpetersi,LARGEN & SPAWLS 2006,,Peter’s Ridgeback Agama,"Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus phillipsii,(BOULENGER 1895),,Philipps’ Ridgeback Agama,"Agamidae (Agaminae), Sauria (lizards)"
Acanthocercus yemensis,(KLAUSEWITZ 1954),,,"Agamidae (Agaminae), Sauria (lizards)"
Acanthochelys macrocephala,"(RHODIN, MITTERMEIER & MCMORRIS 1984)",,"E: Big-headed Pantanal Swamp Turtle
G: Pantanal-Plattschildkröte","Chelidae, Chelinae,  Testudines (turtles)"
Acanthochelys pallidipectoris,(FREIBERG 1945),,"E: Chaco Side-necked Turtle
G: Sporn-Plattschildkröte","Chelidae, Chelinae,  Testudines (turtles)"
Acanthochelys radiolata,(MIKAN 1820),,"E: Brazilian Radiolated Swamp Turtle
G: STrahlen-Plattschildkröte","Chelidae, Chelinae,  Testudines (turtles)"
